Job Title,Company Name,description,Posted Date,Job Type,Location
.NET DEVELOPER,HonorVet Technologies,"SR. DEVELOPER (.NET/FRONT-END) Summary: Client is seeking a Sr. Developer (.NET/Front-End) for a 100% Remote contracted opportunity with one of our top banking clients! If the below sounds like you, apply today! Requirements: 1. .NETCORE Experience (Blazer) 2. Javascript, HTML5, CSS3 3. SQL Server knowledge 4. .NET/C# 5. Sr. level Front End/UI Developer (5+ years) Responsibilities: Supporting the creation of a new HR Toolkit Application.Data EntryMostly Front End/UI developmentFrequent mentoring",Posted 28 days ago,Full-time,Remote
.NET Engineer,Roc Search,"As a Software Engineer , You will: Build new applications with a consistent framework to insure testability and maintainability. Work collaboratively with developers and product owners to decompose requirements into actionable tasks and insure timely features delivery. Create technical design specifications and work with QA to align understanding of requirements in user stories and to develop system test plans. Design and implement proof of concepts/components when required. What You'll Ne",Posted 4 days ago,Full-time,Remote
Senior Application Developer,Concero Technology Group,"Job Description: The Sr. Application Developer creates and implements application changes and is expected to stay abreast of the available technology regarding application development, information delivery, and relational database technology. PRINCIPAL RESPONSIBILITIES AND DUTIES: Designs, develops, and implements end-to-end integrated systems. Develops and executes test plans to check infrastructure and systems technical performance, reports on findings, and makes recommendations for improvem",Posted 4 days ago,Full-time,Remote
REMOTE Curam Developer,Infostride,We have an immediate opening for role Curam Developer. Remote Essential Job Functions: Job Title: Curam Developer Duration: 7+ Months Location: Durham We are looking for V6/V7 certified curam developer. Required/Desired Skills: Skill Required /Desired Amount of Experience C ram V6 Certified Developer Required 0 Social enterprise management experience. Required 3 Years Experience as a C ram Developer with experience in the full life cycle of requirements through functional design and te,Posted 21 days ago,"Third Party, Contract","Remote or Durham, NC, USA"
Senior C++ 11 Software Engineer,"Request Technology, LLC","NO SPONSORSHIP Senior C++ 11 Software Engineer Looking for a C++ 11 or newer Senior Software Engineer that has real time or trading industry experience. You will have linux, data structures and algorithms. We design, develop, deploy, and support real-time systems. We care deeply about system reliability, testability, recoverability, fault tolerance, throughput, and latency. We measure times in microseconds and nanoseconds. Our engineers have a strong understanding of computer science fundament",Posted 34 days ago,Full-time,Remote
Full-Stack Development Lead,SQA Group,"**This is a Contract Role SQA Group is a tech and advisory services firm helping companies maximize two business differentiators — quality and data. We help both tech and business leaders see around corners, stand-up new capabilities, and elevate software quality and data as competitive advantages that help drive towards next. SQA Group is partnering with a leading commercial insurer in Providence, RI, to help support their development of technology solutions. We are looking for a Full-Stack D",Posted 7 days ago,Contract,Remote
Lead C++ Fullstack Developer,Venusgeo,"Job Description More than 10 years of experience in software or product development and maintenance of Winforms applications Experience in C++ with exposure to C# Be the front end POC for the client team and take hands on training on tasks to be handed over to the offshore team Co-ordinate with offshore team and technically help/groom the team Excellent coordination and communication skills Identify project level risks early in the life cycle, raise issues proactively & provide accurate technica",Posted 7 days ago,Contract,Remote
Verification Engineer,Aeternus Solutions Inc,"JD: Responsibilities Develop functional tests based on verification test plan Debug, root-cause and resolve functional failures in the design, partnering with the Design team Collaborate with cross-functional teams like Design, Model, Emulation and Silicon validation teams towards ensuring the highest design quality Identify and write all types of coverage measures for stimulus and corner-cases. Close coverage measures to identify verification holes. Minimum Qualifications B.S or M.S degree in",Posted 7 days ago,"Contract, Third Party",Remote
Software Engineer,Bay Area Techworkers,"Position: C/C++ Engineer Type: Contract; conversion possible Location: Remote This position is primarily a software engineering role focused on both design and implementation, but also part of a small team to specify and build custom hardware. The initial product is a networked cluster of embedded systems providing compute resources, wireless communication, video capture, and wired networking implemented on a custom hardware platform. An ideal candidate will have previous experience or an acad",Posted 1 day ago,Contract,Remote
ZKP Cryptography Engineer,The Agency Worx,"TITLE: ZKP Cryptography Engineer LOCATION: Remote REPORTS TO: Software Development & Engineering Manager SALARY: $200k-230k START DATE: ASAP Summary: Our client is an innovative chip design company whose technology is centered around Fully Homomorphic Encryption (FHE), and they are looking for a Zero Knowledge Proof Cryptography Engineer. In this role you'll be breaking down standard ZKP algorithms and analyzing them looking for ways to improve the performance and implementing code libraries i",Posted 21 days ago,Full-time,"Remote or San Francisco, CA, USA"
